,Date,Time,Hours,Minutes,Month,Power,Status,Week Day,Weekend or weekday,Part of the day
199154,2022-01-04,12:45:00,12,45,1,51.2,W,Tuesday,Workday,Afternoon
199155,2022-01-04,13:00:00,13,0,1,49.6,W,Tuesday,Workday,Afternoon
199156,2022-01-04,13:15:00,13,15,1,56,W,Tuesday,Workday,Afternoon
199157,2022-01-04,13:30:00,13,30,1,51.2,W,Tuesday,Workday,Afternoon
199158,2022-01-04,13:45:00,13,45,1,54.4,W,Tuesday,Workday,Afternoon
199159,2022-01-04,14:00:00,14,0,1,25.6,W,Tuesday,Workday,Afternoon
199160,2022-01-04,14:15:00,14,15,1,51.2,W,Tuesday,Workday,Afternoon
199161,2022-01-04,14:30:00,14,30,1,14.4,W,Tuesday,Workday,Afternoon
199162,2022-01-04,14:45:00,14,45,1,32,W,Tuesday,Workday,Afternoon
199163,2022-01-04,15:00:00,15,0,1,20.8,W,Tuesday,Workday,Afternoon
199164,2022-01-04,15:15:00,15,15,1,16,W,Tuesday,Workday,Afternoon
199165,2022-01-04,15:30:00,15,30,1,14.4,W,Tuesday,Workday,Afternoon
199166,2022-01-04,15:45:00,15,45,1,9.6,W,Tuesday,Workday,Afternoon
199167,2022-01-04,16:00:00,16,0,1,4.8,W,Tuesday,Workday,Afternoon
199168,2022-01-04,16:15:00,16,15,1,1.6,W,Tuesday,Workday,Afternoon
199169,2022-01-04,16:30:00,16,30,1,0,W,Tuesday,Workday,Afternoon
199170,2022-01-04,16:45:00,16,45,1,0,W,Tuesday,Workday,Afternoon
199171,2022-01-04,17:00:00,17,0,1,0,W,Tuesday,Workday,Afternoon
199172,2022-01-04,17:15:00,17,15,1,0,W,Tuesday,Workday,Afternoon
199173,2022-01-04,17:30:00,17,30,1,0,W,Tuesday,Workday,Afternoon
199174,2022-01-04,17:45:00,17,45,1,0,W,Tuesday,Workday,Afternoon
199175,2022-01-04,18:00:00,18,0,1,0,W,Tuesday,Workday,Afternoon
199176,2022-01-04,18:15:00,18,15,1,0,W,Tuesday,Workday,Afternoon
199177,2022-01-04,18:30:00,18,30,1,0,W,Tuesday,Workday,Afternoon
