Date, Time,Power
19.07.2022,05:00:00,0
19.07.2022,05:15:00,0
19.07.2022,05:30:00,0
19.07.2022,05:45:00,1.6
19.07.2022,06:00:00,12.8
19.07.2022,06:15:00,22.4
19.07.2022,06:30:00,30.4
19.07.2022,06:45:00,41.6
19.07.2022,07:00:00,60.8
19.07.2022,07:15:00,102.4
19.07.2022,07:30:00,150.4
19.07.2022,07:45:00,209.6
19.07.2022,08:00:00,280
19.07.2022,08:15:00,358.4
19.07.2022,08:30:00,440
19.07.2022,08:45:00,516.8
19.07.2022,09:00:00,598.4
19.07.2022,09:15:00,670.4
19.07.2022,09:30:00,740.8
19.07.2022,09:45:00,804.8
19.07.2022,10:00:00,864
19.07.2022,10:15:00,915.2
19.07.2022,10:30:00,963.2
19.07.2022,10:45:00,1009.6
19.07.2022,11:00:00,1054.4
19.07.2022,11:15:00,1092.8
19.07.2022,11:30:00,1128
19.07.2022,11:45:00,1160
19.07.2022,12:00:00,1184
19.07.2022,12:15:00,1187.2
19.07.2022,12:30:00,1196.8
19.07.2022,12:45:00,1214.4
19.07.2022,13:00:00,1211.2
19.07.2022,13:15:00,1217.6
19.07.2022,13:30:00,1220.8
19.07.2022,13:45:00,1203.2
19.07.2022,14:00:00,1201.6
19.07.2022,14:15:00,1192
19.07.2022,14:30:00,1176
19.07.2022,14:45:00,1169.6
19.07.2022,15:00:00,1147.2
19.07.2022,15:15:00,1128
19.07.2022,15:30:00,1097.6
19.07.2022,15:45:00,1056
19.07.2022,16:00:00,1011.2
19.07.2022,16:15:00,968
19.07.2022,16:30:00,923.2
19.07.2022,16:45:00,873.6
19.07.2022,17:00:00,817.6
19.07.2022,17:15:00,753.6
19.07.2022,17:30:00,688
19.07.2022,17:45:00,617.6
19.07.2022,18:00:00,544
19.07.2022,18:15:00,470.4
19.07.2022,18:30:00,393.6
19.07.2022,18:45:00,316.8
19.07.2022,19:00:00,243.2
19.07.2022,19:15:00,177.6
19.07.2022,19:30:00,118.4
19.07.2022,19:45:00,75.2
19.07.2022,20:00:00,48
19.07.2022,20:15:00,35.2
19.07.2022,20:30:00,27.2
19.07.2022,20:45:00,19.2
19.07.2022,21:00:00,12.8
19.07.2022,21:15:00,3.2
19.07.2022,21:30:00,0
19.07.2022,21:45:00,0
19.07.2022,22:00:00,0
19.07.2022,22:15:00,0
19.07.2022,22:30:00,0
19.07.2022,22:45:00,0
19.07.2022,23:00:00,0
19.07.2022,23:15:00,0
19.07.2022,23:30:00,0
19.07.2022,23:45:00,0
20.07.2022,00:00:00,0
20.07.2022,00:15:00,0
20.07.2022,00:30:00,0
20.07.2022,00:45:00,0
20.07.2022,01:00:00,0
20.07.2022,01:15:00,0
20.07.2022,01:30:00,0
20.07.2022,01:45:00,0
20.07.2022,02:00:00,0
20.07.2022,02:15:00,0
20.07.2022,02:30:00,0
20.07.2022,02:45:00,0
20.07.2022,03:00:00,0
20.07.2022,03:15:00,0
20.07.2022,03:30:00,0
20.07.2022,03:45:00,0
20.07.2022,04:00:00,0
20.07.2022,04:15:00,0
20.07.2022,04:30:00,0
20.07.2022,04:45:00,0
20.07.2022,05:00:00,0
20.07.2022,05:15:00,0
20.07.2022,05:30:00,0
20.07.2022,05:45:00,0
20.07.2022,06:00:00,12.8
20.07.2022,06:15:00,22.4
20.07.2022,06:30:00,30.4
20.07.2022,06:45:00,46.4
20.07.2022,07:00:00,80
20.07.2022,07:15:00,137.6
20.07.2022,07:30:00,192
20.07.2022,07:45:00,241.6
20.07.2022,08:00:00,270.4
20.07.2022,08:15:00,358.4
20.07.2022,08:30:00,428.8
20.07.2022,08:45:00,481.6
20.07.2022,09:00:00,588.8
20.07.2022,09:15:00,649.6
20.07.2022,09:30:00,731.2
20.07.2022,09:45:00,796.8
20.07.2022,10:00:00,816
20.07.2022,10:15:00,910.4
20.07.2022,10:30:00,958.4
20.07.2022,10:45:00,1006.4
20.07.2022,11:00:00,1043.2
20.07.2022,11:15:00,1075.2
20.07.2022,11:30:00,1115.2
20.07.2022,11:45:00,1081.6
20.07.2022,12:00:00,1158.4
20.07.2022,12:15:00,1166.4
20.07.2022,12:30:00,1169.6
20.07.2022,12:45:00,1182.4
20.07.2022,13:00:00,1190.4
20.07.2022,13:15:00,1201.6
20.07.2022,13:30:00,1185.6
20.07.2022,13:45:00,1190.4
20.07.2022,14:00:00,1192
20.07.2022,14:15:00,1163.2
20.07.2022,14:30:00,1145.6
20.07.2022,14:45:00,1144
20.07.2022,15:00:00,1128
20.07.2022,15:15:00,1104
20.07.2022,15:30:00,1067.2
20.07.2022,15:45:00,1028.8
20.07.2022,16:00:00,988.8
20.07.2022,16:15:00,944
20.07.2022,16:30:00,889.6
20.07.2022,16:45:00,835.2
20.07.2022,17:00:00,792
20.07.2022,17:15:00,724.8
20.07.2022,17:30:00,660.8
20.07.2022,17:45:00,600
20.07.2022,18:00:00,523.2
20.07.2022,18:15:00,459.2
20.07.2022,18:30:00,377.6
20.07.2022,18:45:00,302.4
20.07.2022,19:00:00,233.6
20.07.2022,19:15:00,172.8
20.07.2022,19:30:00,102.4
20.07.2022,19:45:00,72
20.07.2022,20:00:00,48
20.07.2022,20:15:00,46.4
20.07.2022,20:30:00,28.8
20.07.2022,20:45:00,14.4
20.07.2022,21:00:00,6.4
20.07.2022,21:15:00,0
20.07.2022,21:30:00,0
20.07.2022,21:45:00,0
20.07.2022,22:00:00,0
20.07.2022,22:15:00,0
20.07.2022,22:30:00,0
20.07.2022,22:45:00,0
20.07.2022,23:00:00,0
20.07.2022,23:15:00,0
20.07.2022,23:30:00,0
20.07.2022,23:45:00,0
21.07.2022,00:00:00,0
21.07.2022,00:15:00,0
21.07.2022,00:30:00,0
21.07.2022,00:45:00,0
21.07.2022,01:00:00,0
21.07.2022,01:15:00,0
21.07.2022,01:30:00,0
21.07.2022,01:45:00,0
21.07.2022,02:00:00,0
21.07.2022,02:15:00,0
21.07.2022,02:30:00,0
21.07.2022,02:45:00,0
21.07.2022,03:00:00,0
21.07.2022,03:15:00,0
21.07.2022,03:30:00,0
21.07.2022,03:45:00,0
21.07.2022,04:00:00,0
21.07.2022,04:15:00,0
21.07.2022,04:30:00,0
21.07.2022,04:45:00,0
21.07.2022,05:00:00,0
21.07.2022,05:15:00,0
21.07.2022,05:30:00,0
21.07.2022,05:45:00,0
21.07.2022,06:00:00,0
21.07.2022,06:15:00,4.8
21.07.2022,06:30:00,6.4
21.07.2022,06:45:00,3.2
21.07.2022,07:00:00,11.2
21.07.2022,07:15:00,25.6
21.07.2022,07:30:00,54.4
21.07.2022,07:45:00,43.2
21.07.2022,08:00:00,113.6
21.07.2022,08:15:00,235.2
21.07.2022,08:30:00,112
21.07.2022,08:45:00,120
21.07.2022,09:00:00,182.4
21.07.2022,09:15:00,409.6
21.07.2022,09:30:00,368
21.07.2022,09:45:00,323.2
21.07.2022,10:00:00,408
21.07.2022,10:15:00,553.6
21.07.2022,10:30:00,814.4
21.07.2022,10:45:00,1019.2
21.07.2022,11:00:00,632
21.07.2022,11:15:00,800
21.07.2022,11:30:00,752
21.07.2022,11:45:00,612.8
21.07.2022,12:00:00,1009.6
21.07.2022,12:15:00,942.4
21.07.2022,12:30:00,1340.8
21.07.2022,12:45:00,1072
21.07.2022,13:00:00,816
21.07.2022,13:15:00,868.8
21.07.2022,13:30:00,1291.2
21.07.2022,13:45:00,1248
21.07.2022,14:00:00,1273.6
21.07.2022,14:15:00,1296
21.07.2022,14:30:00,1078.4
21.07.2022,14:45:00,1014.4
21.07.2022,15:00:00,886.4
21.07.2022,15:15:00,768
21.07.2022,15:30:00,571.2
21.07.2022,15:45:00,508.8
21.07.2022,16:00:00,971.2
21.07.2022,16:15:00,1032
21.07.2022,16:30:00,857.6
21.07.2022,16:45:00,812.8
21.07.2022,17:00:00,699.2
21.07.2022,17:15:00,716.8
21.07.2022,17:30:00,555.2
21.07.2022,17:45:00,675.2
21.07.2022,18:00:00,505.6
21.07.2022,18:15:00,524.8
21.07.2022,18:30:00,363.2
21.07.2022,18:45:00,307.2
21.07.2022,19:00:00,152
21.07.2022,19:15:00,136
21.07.2022,19:30:00,84.8
21.07.2022,19:45:00,67.2
21.07.2022,20:00:00,68.8
21.07.2022,20:15:00,40
21.07.2022,20:30:00,28.8
21.07.2022,20:45:00,17.6
21.07.2022,21:00:00,8
21.07.2022,21:15:00,1.6
21.07.2022,21:30:00,0
21.07.2022,21:45:00,0
21.07.2022,22:00:00,0
21.07.2022,22:15:00,0
21.07.2022,22:30:00,0
21.07.2022,22:45:00,0
21.07.2022,23:00:00,0
21.07.2022,23:15:00,0
21.07.2022,23:30:00,0
21.07.2022,23:45:00,0
22.07.2022,00:00:00,0
22.07.2022,00:15:00,0
22.07.2022,00:30:00,0
22.07.2022,00:45:00,0
22.07.2022,01:00:00,0
22.07.2022,01:15:00,0
22.07.2022,01:30:00,0
22.07.2022,01:45:00,0
22.07.2022,02:00:00,0
22.07.2022,02:15:00,0
22.07.2022,02:30:00,0
22.07.2022,02:45:00,0
22.07.2022,03:00:00,0
22.07.2022,03:15:00,0
22.07.2022,03:30:00,0
22.07.2022,03:45:00,0
22.07.2022,04:00:00,0
22.07.2022,04:15:00,0
22.07.2022,04:30:00,0
22.07.2022,04:45:00,0
22.07.2022,05:00:00,0
22.07.2022,05:15:00,0
22.07.2022,05:30:00,0
22.07.2022,05:45:00,0
22.07.2022,06:00:00,11.2
22.07.2022,06:15:00,20.8
22.07.2022,06:30:00,35.2
22.07.2022,06:45:00,49.6
22.07.2022,07:00:00,68.8
22.07.2022,07:15:00,102.4
22.07.2022,07:30:00,152
22.07.2022,07:45:00,209.6
22.07.2022,08:00:00,273.6
22.07.2022,08:15:00,344
22.07.2022,08:30:00,420.8
22.07.2022,08:45:00,496
22.07.2022,09:00:00,571.2
22.07.2022,09:15:00,644.8
22.07.2022,09:30:00,715.2
22.07.2022,09:45:00,785.6
22.07.2022,10:00:00,851.2
22.07.2022,10:15:00,902.4
22.07.2022,10:30:00,953.6
22.07.2022,10:45:00,1004.8
22.07.2022,11:00:00,1052.8
22.07.2022,11:15:00,1100.8
22.07.2022,11:30:00,1131.2
22.07.2022,11:45:00,1152
22.07.2022,12:00:00,1187.2
22.07.2022,12:15:00,1201.6
22.07.2022,12:30:00,1206.4
22.07.2022,12:45:00,1204.8
22.07.2022,13:00:00,1224
22.07.2022,13:15:00,1240
22.07.2022,13:30:00,1230.4
22.07.2022,13:45:00,1049.6
22.07.2022,14:00:00,1203.2
22.07.2022,14:15:00,1192
22.07.2022,14:30:00,1201.6
22.07.2022,14:45:00,1184
22.07.2022,15:00:00,1056
22.07.2022,15:15:00,1142.4
22.07.2022,15:30:00,1099.2
22.07.2022,15:45:00,1068.8
22.07.2022,16:00:00,1016
22.07.2022,16:15:00,900.8
22.07.2022,16:30:00,891.2
22.07.2022,16:45:00,788.8
22.07.2022,17:00:00,737.6
22.07.2022,17:15:00,676.8
22.07.2022,17:30:00,689.6
22.07.2022,17:45:00,611.2
22.07.2022,18:00:00,499.2
22.07.2022,18:15:00,409.6
22.07.2022,18:30:00,371.2
22.07.2022,18:45:00,313.6
22.07.2022,19:00:00,244.8
22.07.2022,19:15:00,171.2
22.07.2022,19:30:00,96
22.07.2022,19:45:00,126.4
22.07.2022,20:00:00,84.8
22.07.2022,20:15:00,41.6
22.07.2022,20:30:00,28.8
22.07.2022,20:45:00,17.6
22.07.2022,21:00:00,6.4
22.07.2022,21:15:00,1.6
22.07.2022,21:30:00,0
22.07.2022,21:45:00,0
22.07.2022,22:00:00,0
22.07.2022,22:15:00,0
22.07.2022,22:30:00,0
22.07.2022,22:45:00,0
22.07.2022,23:00:00,0
22.07.2022,23:15:00,0
22.07.2022,23:30:00,0
22.07.2022,23:45:00,0
23.07.2022,00:00:00,0
23.07.2022,00:15:00,0
23.07.2022,00:30:00,0
23.07.2022,00:45:00,0
23.07.2022,01:00:00,0
23.07.2022,01:15:00,0
23.07.2022,01:30:00,0
23.07.2022,01:45:00,0
23.07.2022,02:00:00,0
23.07.2022,02:15:00,0
23.07.2022,02:30:00,0
23.07.2022,02:45:00,0
23.07.2022,03:00:00,0
23.07.2022,03:15:00,0
23.07.2022,03:30:00,0
23.07.2022,03:45:00,0
23.07.2022,04:00:00,0
23.07.2022,04:15:00,0
23.07.2022,04:30:00,0
23.07.2022,04:45:00,0
23.07.2022,05:00:00,0
23.07.2022,05:15:00,0
23.07.2022,05:30:00,0
23.07.2022,05:45:00,0
23.07.2022,06:00:00,3.2
23.07.2022,06:15:00,17.6
23.07.2022,06:30:00,49.6
23.07.2022,06:45:00,56
23.07.2022,07:00:00,70.4
23.07.2022,07:15:00,115.2
23.07.2022,07:30:00,147.2
23.07.2022,07:45:00,150.4
23.07.2022,08:00:00,179.2
23.07.2022,08:15:00,225.6
23.07.2022,08:30:00,246.4
23.07.2022,08:45:00,510.4
23.07.2022,09:00:00,201.6
23.07.2022,09:15:00,132.8
23.07.2022,09:30:00,92.8
23.07.2022,09:45:00,203.2
23.07.2022,10:00:00,129.6
23.07.2022,10:15:00,180.8
23.07.2022,10:30:00,252.8
23.07.2022,10:45:00,481.6
23.07.2022,11:00:00,500.8
23.07.2022,11:15:00,873.6
23.07.2022,11:30:00,393.6
23.07.2022,11:45:00,558.4
23.07.2022,12:00:00,635.2
23.07.2022,12:15:00,740.8
23.07.2022,12:30:00,932.8
23.07.2022,12:45:00,904
23.07.2022,13:00:00,817.6
23.07.2022,13:15:00,702.4
23.07.2022,13:30:00,737.6
23.07.2022,13:45:00,1014.4
23.07.2022,14:00:00,1211.2
23.07.2022,14:15:00,761.6
